date,tournament,round,player1_firstname,player1_lastname,player2_firstname,player2_lastname,category,URL
2025-02-07,Dallas,QF,Denis,Shapovalov,Tomas,Machac,ATP,20250207-M-Dallas-QF-Denis_Shapovalov-Tomas_Machac.html
2025-02-05,Dallas,R32,Taylor,Fritz,Arthur,Rinderknech,ATP,20250205-M-Dallas-R32-Taylor_Fritz-Arthur_Rinderknech.html
2025-02-08,Abu Dhabi,F,Ashlyn,Krueger,Belinda,Bencic,WTA,20250208-W-Abu_Dhabi-F-Ashlyn_Krueger-Belinda_Bencic.html
2025-02-07,Abu Dhabi,SF,Elena,Rybakina,Belinda,Bencic,WTA,20250207-W-Abu_Dhabi-SF-Elena_Rybakina-Belinda_Bencic.html
2025-02-07,Abu Dhabi,SF,Ashlyn,Krueger,Linda,Noskova,WTA,20250207-W-Abu_Dhabi-SF-Ashlyn_Krueger-Linda_Noskova.html
2025-02-06,Abu Dhabi,QF,Magda,Linette,Linda,Noskova,WTA,20250206-W-Abu_Dhabi-QF-Magda_Linette-Linda_Noskova.html
2025-02-05,Abu Dhabi,R16,Paula,Badosa,Linda,Noskova,WTA,20250205-W-Abu_Dhabi-R16-Paula_Badosa-Linda_Noskova.html
2025-02-03,Abu Dhabi,R32,Yue,Yuan,Wakana,Sonobe,WTA,20250203-W-Abu_Dhabi-R32-Yue_Yuan-Wakana_Sonobe.html
2025-02-02,Linz,F,Ekaterina,Alexandrova,Dayana,Yastremska,WTA,20250202-W-Linz-F-Ekaterina_Alexandrova-Dayana_Yastremska.html
2025-02-01,Linz,SF,Karolina,Muchova,Ekaterina,Alexandrova,WTA,20250201-W-Linz-SF-Karolina_Muchova-Ekaterina_Alexandrova.html
2025-01-31,Linz,QF,Clara,Tauson,Anna,Blinkova,WTA,20250131-W-Linz-QF-Clara_Tauson-Anna_Blinkova.html
2025-01-30,Linz,R16,Karolina,Muchova,Sara Sorribes,Tormo,WTA,20250130-W-Linz-R16-Karolina_Muchova-Sara_Sorribes_Tormo.html
2025-01-29,Linz,R32,Elina,Avanesyan,Katerina,Siniakova,WTA,20250129-W-Linz-R32-Elina_Avanesyan-Katerina_Siniakova.html
2025-01-29,Linz,R16,Sorana,Cirstea,Clara,Tauson,WTA,20250129-W-Linz-R16-Sorana_Cirstea-Clara_Tauson.html
