date,tournament,round,player1_firstname,player1_lastname,player2_firstname,player2_lastname,category,URL
2025-01-06,Adelaide,R32,Olivia,Gadecki,Daria,Kasatkina,WTA,20250106-W-Adelaide-R32-Olivia_Gadecki-Daria_Kasatkina.html
2025-01-06,Adelaide,R32,Denis,Shapovalov,Zhizhen,Zhang,ATP,20250106-M-Adelaide-R32-Denis_Shapovalov-Zhizhen_Zhang.html
2025-01-11,Auckland,F,Gael,Monfils,Zizou,Bergs,ATP,20250111-M-Auckland-F-Gael_Monfils-Zizou_Bergs.html
2025-01-10,Auckland,SF,Gael,Monfils,Nishesh,Basavareddy,ATP,20250110-M-Auckland-SF-Gael_Monfils-Nishesh_Basavareddy.html
2025-01-09,Auckland,QF,Facundo Diaz,Acosta,Gael,Monfils,ATP,20250109-M-Auckland-QF-Facundo_Diaz_Acosta-Gael_Monfils.html
2025-01-08,Auckland,R16,Gael,Monfils,Jan Lennard,Struff,ATP,20250108-M-Auckland-R16-Gael_Monfils-Jan_Lennard_Struff.html
2025-01-08,Auckland,R16,Alejandro,Tabilo,Nishesh,Basavareddy,ATP,20250108-M-Auckland-R16-Alejandro_Tabilo-Nishesh_Basavareddy.html
2025-01-05,Auckland,F,Clara,Tauson,Naomi,Osaka,WTA,20250105-W-Auckland-F-Clara_Tauson-Naomi_Osaka.html
2025-01-04,Auckland,SF,Clara,Tauson,Robin,Montgomery,WTA,20250104-W-Auckland-SF-Clara_Tauson-Robin_Montgomery.html
2025-01-03,Auckland,QF,Madison,Keys,Clara,Tauson,WTA,20250103-W-Auckland-QF-Madison_Keys-Clara_Tauson.html
2025-01-03,Auckland,QF,Bernarda,Pera,Robin,Montgomery,WTA,20250103-W-Auckland-QF-Bernarda_Pera-Robin_Montgomery.html
2025-01-02,Auckland,R16,Nao,Hibino,Robin,Montgomery,WTA,20250102-W-Auckland-R16-Nao_Hibino-Robin_Montgomery.html
2025-01-02,Auckland,R16,Greet,Minnen,Alycia,Parks,WTA,20250102-W-Auckland-R16-Greet_Minnen-Alycia_Parks.html
2025-01-01,Auckland,R16,Ann,Li,Katie,Volynets,WTA,20250101-W-Auckland-R16-Ann_Li-Katie_Volynets.html
2025-01-11,Hobart,F,Elise,Mertens,Mccartney,Kessler,WTA,20250111-W-Hobart-F-Elise_Mertens-Mccartney_Kessler.html
2025-01-10,Hobart,SF,Maya,Joint,Elise,Mertens,WTA,20250110-W-Hobart-SF-Maya_Joint-Elise_Mertens.html
2025-01-10,Hobart,SF,Elina,Avanesyan,Mccartney,Kessler,WTA,20250110-W-Hobart-SF-Elina_Avanesyan-Mccartney_Kessler.html
2025-01-07,Hobart,R32,Olga,Danilovic,Maya,Joint,WTA,20250107-W-Hobart-R32-Olga_Danilovic-Maya_Joint.html
2025-01-06,Oeiras 1 CH,R32,Karue,Sell,Robin,Bertrand,ATP,20250106-M-Oeiras_1_CH-R32-Karue_Sell-Robin_Bertrand.html
2025-01-05,Hong Kong,F,Alexandre,Muller,Kei,Nishikori,ATP,20250105-M-Hong_Kong-F-Alexandre_Muller-Kei_Nishikori.html
2025-01-03,Hong Kong,QF,Jaume,Munar,Lorenzo,Musetti,ATP,20250103-M-Hong_Kong-QF-Jaume_Munar-Lorenzo_Musetti.html
2025-01-02,Hong Kong,R16,Gabriel,Diallo,Lorenzo,Musetti,ATP,20250102-M-Hong_Kong-R16-Gabriel_Diallo-Lorenzo_Musetti.html
2025-01-02,Hong Kong,R16,Andrey,Rublev,Fabian,Marozsan,ATP,20250102-M-Hong_Kong-R16-Andrey_Rublev-Fabian_Marozsan.html
2025-01-01,Hong Kong,R16,Arthur,Fils,Zizou,Bergs,ATP,20250101-M-Hong_Kong-R16-Arthur_Fils-Zizou_Bergs.html
2025-01-05,United Cup,F,Coco,Gauff,Iga,Swiatek,WTA,20250105-W-United_Cup-F-Coco_Gauff-Iga_Swiatek.html
2025-01-05,United Cup,F,Hubert,Hurkacz,Taylor,Fritz,ATP,20250105-M-United_Cup-F-Hubert_Hurkacz-Taylor_Fritz.html
2025-01-04,United Cup,SF,Iga,Swiatek,Elena,Rybakina,WTA,20250104-W-United_Cup-SF-Iga_Swiatek-Elena_Rybakina.html
2025-01-04,United Cup,SF,Coco,Gauff,Karolina,Muchova,WTA,20250104-W-United_Cup-SF-Coco_Gauff-Karolina_Muchova.html
2025-01-04,United Cup,SF,Hubert,Hurkacz,Alexander,Shevchenko,ATP,20250104-M-United_Cup-SF-Hubert_Hurkacz-Alexander_Shevchenko.html
2025-01-03,United Cup,QF,Jasmine,Paolini,Karolina,Muchova,WTA,20250103-W-United_Cup-QF-Jasmine_Paolini-Karolina_Muchova.html
2025-01-03,United Cup,QF,Tomas,Machac,Flavio,Cobolli,ATP,20250103-M-United_Cup-QF-Tomas_Machac-Flavio_Cobolli.html
2025-01-02,United Cup,QF,Iga,Swiatek,Katie,Boulter,WTA,20250102-W-United_Cup-QF-Iga_Swiatek-Katie_Boulter.html
2025-01-02,United Cup,QF,Hubert,Hurkacz,Billy,Harris,ATP,20250102-M-United_Cup-QF-Hubert_Hurkacz-Billy_Harris.html
2025-01-01,United Cup,RR,Olivia,Gadecki,Katie,Boulter,WTA,20250101-W-United_Cup-RR-Olivia_Gadecki-Katie_Boulter.html
2025-01-01,United Cup,RR,Iga,Swiatek,Karolina,Muchova,WTA,20250101-W-United_Cup-RR-Iga_Swiatek-Karolina_Muchova.html
2025-01-01,United Cup,RR,Hubert,Hurkacz,Tomas,Machac,ATP,20250101-M-United_Cup-RR-Hubert_Hurkacz-Tomas_Machac.html
2025-01-05,Brisbane,F,Polina,Kudermetova,Aryna,Sabalenka,WTA,20250105-W-Brisbane-F-Polina_Kudermetova-Aryna_Sabalenka.html
2025-01-05,Brisbane,F,Jiri,Lehecka,Reilly,Opelka,ATP,20250105-M-Brisbane-F-Jiri_Lehecka-Reilly_Opelka.html
2025-01-04,Brisbane,SF,Aryna,Sabalenka,Mirra,Andreeva,WTA,20250104-W-Brisbane-SF-Aryna_Sabalenka-Mirra_Andreeva.html
2025-01-04,Brisbane,SF,Reilly,Opelka,Giovanni Mpetshi,Perricard,ATP,20250104-M-Brisbane-SF-Reilly_Opelka-Giovanni_Mpetshi_Perricard.html
2025-01-03,Brisbane,QF,Polina,Kudermetova,Ashlyn,Krueger,WTA,20250103-W-Brisbane-QF-Polina_Kudermetova-Ashlyn_Krueger.html
2025-01-03,Brisbane,QF,Novak,Djokovic,Reilly,Opelka,ATP,20250103-M-Brisbane-QF-Novak_Djokovic-Reilly_Opelka.html
2025-01-03,Brisbane,QF,Nicolas,Jarry,Jiri,Lehecka,ATP,20250103-M-Brisbane-QF-Nicolas_Jarry-Jiri_Lehecka.html
2025-01-03,Brisbane,QF,Giovanni Mpetshi,Perricard,Jakub,Mensik,ATP,20250103-M-Brisbane-QF-Giovanni_Mpetshi_Perricard-Jakub_Mensik.html
2025-01-02,Brisbane,R16,Mirra,Andreeva,Linda,Noskova,WTA,20250102-W-Brisbane-R16-Mirra_Andreeva-Linda_Noskova.html
2025-01-02,Brisbane,R16,Novak,Djokovic,Gael,Monfils,ATP,20250102-M-Brisbane-R16-Novak_Djokovic-Gael_Monfils.html
2025-01-02,Brisbane,R16,Giovanni Mpetshi,Perricard,Frances,Tiafoe,ATP,20250102-M-Brisbane-R16-Giovanni_Mpetshi_Perricard-Frances_Tiafoe.html
2025-01-01,Brisbane,R32,Linda,Noskova,Anca Alexia,Todoni,WTA,20250101-W-Brisbane-R32-Linda_Noskova-Anca_Alexia_Todoni.html
2025-01-04,Canberra CH,F,Ethan,Quinn,Joao,Fonseca,ATP,20250104-M-Canberra_CH-F-Ethan_Quinn-Joao_Fonseca.html
